"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","509512500","510143000","1.94","5250000","","","https://trendlyne.com/mutual-fund/holding-history/14412/878/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","454446832.25","472835000","1.8","797765","","","https://trendlyne.com/mutual-fund/holding-history/14412/71/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","519169744.8","457361000","1.74","212548","","","https://trendlyne.com/mutual-fund/holding-history/14412/2710663/"
"Tech Mahindra Ltd","TECHM","532755","Technology","454410000","439110000","1.67","300000","100000","50","https://trendlyne.com/mutual-fund/holding-history/14412/1374/"
"NTPC Ltd","NTPC","532555","Utilities","439197750","436196000","1.66","1305000","-200000","-13.29","https://trendlyne.com/mutual-fund/holding-history/14412/959/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","421510570","431525000","1.64","14006","","","https://trendlyne.com/mutual-fund/holding-history/14412/1226/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","382466571.05","388000000","1.47","1333333","","","https://trendlyne.com/mutual-fund/holding-history/14412/1057/"
"Adani Energy Solutions Ltd","ADANIENSOL","539254","Utilities","353289712.65","370403000","1.41","458193","","","https://trendlyne.com/mutual-fund/holding-history/14412/1759/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","341333198.55","342841000","1.3","424623","","","https://trendlyne.com/mutual-fund/holding-history/14412/188792/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","425480787.5","340281000","1.29","79865","","","https://trendlyne.com/mutual-fund/holding-history/14412/540/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","328545000","336410000","1.28","245000","","","https://trendlyne.com/mutual-fund/holding-history/14412/27/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","305400000","329775000","1.25","50000","-10000","-16.67","https://trendlyne.com/mutual-fund/holding-history/14412/336/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","337619985.2","329626000","1.25","452938","","","https://trendlyne.com/mutual-fund/holding-history/14412/2228/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","297046000","324273000","1.23","190000","-100000","-34.48","https://trendlyne.com/mutual-fund/holding-history/14412/1316/"
"Havells India Ltd","HAVELLS","517354","Industrials","293617257.6","277737000","1.06","185084","","","https://trendlyne.com/mutual-fund/holding-history/14412/525/"
"Granules India Ltd","GRANULES","532482","Healthcare","274298472","253186000","0.96","533136","","","https://trendlyne.com/mutual-fund/holding-history/14412/488/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","247385094","247515000","0.94","185460","","","https://trendlyne.com/mutual-fund/holding-history/14412/1521/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","239025140","245277000","0.93","209800","9800","4.9","https://trendlyne.com/mutual-fund/holding-history/14412/184/"
"Cyient Ltd","CYIENT","532175","Industrials","241020000","241120000","0.92","200000","","","https://trendlyne.com/mutual-fund/holding-history/14412/301/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","215520000","238450000","0.91","1000000","","","https://trendlyne.com/mutual-fund/holding-history/14412/189/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","170010000","174465000","0.66","4500","","","https://trendlyne.com/mutual-fund/holding-history/14412/569/"
"Siemens Ltd","SIEMENS","500550","Industrials","182916916","174457000","0.66","57512","","","https://trendlyne.com/mutual-fund/holding-history/14412/1237/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","11849315.7","11598000","0.04","4223","","","https://trendlyne.com/mutual-fund/holding-history/14412/490/"
